Q4,Q5_1,Q5_2,Q7,Q8,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q29_1,Q29_2,Q29_3,Q30
09/30/21,Water/Sewer,MECO Utilities Inc. (Docket Number W-1166),Yes,Both water and wastewater customers,272,0,272,0,,,,,,272,0,272,0,,,,,,420,0,606,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,4,0,4,0,,,,,,0,0,0,0,,,,,,4,0,4,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Yes,
09/30/21,Water/Sewer,"KRJ, Inc. (Docket Number W-1075)",Yes,Both water and wastewater customers,605,0,413,0,,,,,,27,0,26,0,,,,,,1368,0,1661,0,,,,,,2,0,2,0,,,,,,2,0,2,0,,,,,,122,0,218,0,,,,,,7,0,6,0,,,,,,0,0,0,0,,,,,,7,0,6,0,,,,,,0,0,0,0,,,,,,Yes,No,Yes,
09/30/21,Water/Sewer,"GGCC Utility, Inc. (Docket Number W-755)",Yes,Both water and wastewater customers,269,1,191,1,,,,,,1,0,0,0,,,,,,189.39,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
09/30/21,Natural Gas,Frontier Natural Gas Company (Docket Number G-40),Yes,,,,,,,,2686,2043,,,,,,,,294,79,,,,,,,,20877.79,55696,,,,,,,,3,1,,,,,,,,0,1,,,,,,,,1484.73,1985.59,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Yes,Yes,
09/30/21,Water/Sewer,"JL GOLF MANAGEMENT, LLC (Docket Number W-1296)",No,Both water and wastewater customers,,,,,266,209,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,No,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"Pluris Hampstead, LLC (Docket Number W-1305)",Yes,Wastewater only,,,,,,,792,74,,,,,,,,34,2,,,,,,,,3449.7,376.18,,,,,,,,3,0,,,,,,,,1,0,,,,,,,,85.2,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Yes,Yes,
09/30/21,Water/Sewer,Scientific Water and Sewerage Corporation (Docket Number W-176),Yes,Both water and wastewater customers,1447,4,1571,4,,,,,,601,2,676,2,,,,,,12,1,12,1,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,108,0,108,0,,,,,,94,0,94,0,,,,,,64,0,64,0,,,,,,30,0,30,0,,,,,,Yes,Yes,Yes,
09/30/21,Water/Sewer,"PLURIS, LLC (Docket Number W-1282)",Yes,Wastewater only,,,,,,,5681,179,,,,,,,,204,11,,,,,,,,13636.52,1775.96,,,,,,,,9,1,,,,,,,,3,0,,,,,,,,1002.31,56.06,,,,,,,,3,0,,,,,,,,4,0,,,,,,,,3,0,,,,,,,,4,0,,Yes,Yes,Yes,
09/30/21,Water/Sewer,Fearrington Utilities (Docket Number W-661),Yes,Wastewater only,,,,,,,1418,2,,,,,,,,14,0,,,,,,,,2794.73,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"OLD NORTH STATE WATER COMPANY, LLC (Docket Number W-1300)",Yes,Both water and wastewater customers,1866,0,4083,21,,,,,,60,0,138,0,,,,,,2418.12,0,5328.17,0,,,,,,8,0,25,0,,,,,,6,0,20,0,,,,,,530.5,0,770.81,0,,,,,,12,0,0,0,,,,,,11,0,0,0,,,,,,11,0,0,0,,,,,,1,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"PLURIS WEBB CREEK, LLC (Docket Number W-1314)",Yes,Wastewater only,,,,,,,1445,9,,,,,,,,120,1,,,,,,,,11158.13,417.95,,,,,,,,13,0,,,,,,,,0,0,,,,,,,,1176.27,0,,,,,,,,8,0,,,,,,,,11,0,,,,,,,,6,0,,,,,,,,7,0,,Yes,Yes,Yes,
09/30/21,Water/Sewer,"OLD NORTH UTILITY SERVICES, INC. (Docket Number W-1279)",No,Both water and wastewater customers,,,,,2,1,,,,,,,,1,0,,,,,,,,8926.13,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,Sandler Utilities at Mill Run LLC (Docket Number W-1130),Yes,Wastewater only,,,,,,,420,2,,,,,,,,135,1,,,,,,,,40073.08,13449.79,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Natural Gas,"Public Service Company of North Carolina, Inc. (Docket Number G-5)",Yes,,,,,,,,570200,54535,,,,,,,,57526,3037,,,,,,,,6600000,600000,,,,,,,,3833,49,,,,,,,,3078,34,,,,,,,,788000,16000,,,,,,,,0,53,,,,,,,,102,1,,,,,,,,0,6,,,,,,,,0,2,,Yes,Yes,Yes,"Payment arrangements available to include Equal Payment Plan (Budget Bill), short-term and deferred payment plans
Data provided represents9/01/2021 through 9/30/2021
PSNC resumed residential disconnections as of October 4, 2021"
09/30/21,Natural Gas,"Piedmont Natural Gas Company, Inc. (Docket Number G-9)",Yes,,,,,,,,705319,72806,,,,,,,,94882,4566,,,,,,,,10953123,2038390,,,,,,,,12960,153,,,,,,,,9433,111,,,,,,,,5269189,360356,,,,,,,,2157,101,,,,,,,,706,50,,,,,,,,144,7,,,,,,,,8204,1101,,Yes,Yes,Yes,
09/30/21,Electric,"Duke Energy Progress, LLC (Docket Number E-2)",Yes,,,,,,,,1265158,217547,,,,,,,,162505,10022,,,,,,,,30561627,8530349,,,,,,,,45284,842,,,,,,,,36014,672,,,,,,,,4815638,289090,,,,,,,,8458,423,,,,,,,,6968,366,,,,,,,,6397,265,,,,,,,,1724,60,,Yes,Yes,Yes,"DEP total accounts receivable balance more than 30 days old excludes amounts under long-term payment arrangements. The DEP CIS classifies these amounts as non-arrears, until the monthly installment due month. Amounts excluded:
•	July 2021                      $21,779,634
•	August 2021                 $18,515,439
•	September 2021            $15,763,091
"
09/30/21,Electric,"Duke Energy Carolinas, LLC (Docket Number E-7 )",Yes,,,,,,,,1812603,297468,,,,,,,,314323,26282,,,,,,,,122623529,38252699,,,,,,,,90369,869,,,,,,,,90369,869,,,,,,,,60269005,1953982,,,,,,,,5691,391,,,,,,,,3020,233,,,,,,,,2541,145,,,,,,,,745,18,,Yes,Yes,Yes,
09/30/21,Water/Sewer,"MEADOWLANDS DEVELOPMENT, LLC (Docket Number W-1259)",Yes,Wastewater only,,,,,,,572,0,,,,,,,,6,0,,,,,,,,210.81,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Electric,"Dominion Energy North Carolina; Virginia Electric & Power Co., dba (Docket Number E-22)",Yes,,,,,,,,106043,18635,,,,,,,,18448,1248,,,,,,,,11421493.48,302900.56,,,,,,,,4894,129,,,,,,,,4894,129,,,,,,,,5952559.61,196864.3,,,,,,,,0,3,,,,,,,,0,1,,,,,,,,0,1,,,,,,,,0,2,,Yes,Yes,Yes,
09/30/21,Water/Sewer,MOUNTAIN AIR UTILITIES CORPORATION (Docket Number W-1148),Yes,Both water and wastewater customers,436,45,435,22,,,,,,36,20,41,2,,,,,,6637.97,529.9,6694.94,191.5,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,Cross-State Development Corporation (Docket Number W-408),Yes,Water only,,,,,,,169,0,,,,,,,,23,0,,,,,,,,2619.92,0,,,,,,,,3,0,,,,,,,,3,0,,,,,,,,731.76,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,3,0,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,Harrco Utility Corporation (Docket Number W-796),Yes,Wastewater only,,,,,,,95,1,,,,,,,,13,0,,,,,,,,752.77,0,,,,,,,,2,0,,,,,,,,2,0,,,,,,,,991.67,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"Carolina Water Service, Inc. of North Carolina (Docket Number W-354)",Yes,Both water and wastewater customers,33851,564,19956,672,,,,,,4730,75,2073,66,,,,,,807130.81,37153.76,448077.81,90115.4,,,,,,666,6,0,0,,,,,,552,4,0,0,,,,,,285744.41,8837.68,0,0,,,,,,1,0,1,0,,,,,,8,0,3,0,,,,,,0,0,0,0,,,,,,104,0,72,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"TOTAL ENVIRONMENTAL SOLUTIONS, INC. (Docket Number W-1146)",Yes,Both water and wastewater customers,2069,15,0,2,,,,,,33,21,0,0,,,,,,3995,262,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,14,9,0,0,,,,,,7,6,0,0,,,,,,3,2,0,0,,,,,,3,5,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,Corriher Water Service (Docket Number W-233),No,Water only,,,,,,,,,888,,,,,,,,,155,,,,,,,,,4684.6,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,"ALBEMARLE PLANTATION UTILITY COMPANY, INC. (Docket Number W-1189)",Yes,Wastewater only,,,,,,,498,9,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Electric,New River Light and Power Company (Docket Number E-34),Yes,,,,,,,,6965,1902,,,,,,,,881,92,,,,,,,,44838.91,30901,,,,,,,,20,1,,,,,,,,18,0,,,,,,,,5560.26,4999.75,,,,,,,,125,0,,,,,,,,125,0,,,,,,,,125,0,,,,,,,,0,0,,Yes,Yes,Yes,"Disconnects have resumed for delinquent accounts. All customers with past due balances have been emailed past due amounts, payment plan information, and delinquent information. Customers also received door-hanger letters on the morning of cutoffs to give them a final chance to pay before disconnection. We are continuing to work with all customers to set-up payment plans and arrangements as needed. "
09/30/21,Water/Sewer,"Beacon's Reach Master Association, Inc. (Docket Number W-966)",No,Both water and wastewater customers,,,,,517,517,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
09/30/21,Water/Sewer,Gensinger; John (Docket Number W-549),Yes,Water only,,,,,,,35,1,,,,,,,,2,0,,,,,,,,182.08,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"AQUA North Carolina, Inc. (Docket Number W-218)",Yes,Both water and wastewater customers,81422,3718,21420,321,,,,,,1888,27,168,1,,,,,,802401.23,15.25,84550.61,5117.94,,,,,,817,1,48,1,,,,,,1075,13,59,1,,,,,,303761.3,1571.93,15866.97,4866.85,,,,,,76,0,7,0,,,,,,48,0,5,0,,,,,,25,0,2,0,,,,,,38,0,3,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,None
08/31/21,Electric,New River Light and Power Company (Docket Number E-34),Yes,,,,,,,,6967,1906,,,,,,,,758,80,,,,,,,,44887.75,15755.17,,,,,,,,25,1,,,,,,,,23,0,,,,,,,,8323.99,6181.21,,,,,,,,165,0,,,,,,,,165,0,,,,,,,,165,0,,,,,,,,0,0,,Yes,Yes,Yes,"Disconnects have resumed for delinquent accounts. All customers with past due balances have been emailed past due amounts, payment plan information, and delinquent information. Customers also received door-hanger letters on the morning of cutoffs to give them a final chance to pay before disconnection. We are continuing to work with all customers to set-up payment plans and arrangements as needed. "
08/31/21,Water/Sewer,"H H WATER, LLC (Docket Number W-1318)",Yes,Water only,,,,,,,238,2,,,,,,,,14,1,,,,,,,,431.56,562.82,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,No,No,
08/31/21,Water/Sewer,"ENVIRO-TECH OF NORTH CAROLINA, INC. (Docket Number W-1165)",Yes,Wastewater only,,,,,,,214,0,,,,,,,,34,0,,,,,,,,13834.4,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,No,No,
08/31/21,Water/Sewer,"Ginguite Woods Water Reclamation Association, Inc. (Docket Number W-1139)",Yes,Wastewater only,,,,,,,38,0,,,,,,,,2,0,,,,,,,,726.3,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,No,No,
08/31/21,Water/Sewer,"Bay Tree Utility Company; Lake Creek Corp., d/b/a (Docket Number W-1080)",Yes,Wastewater only,,,,,,,183,0,,,,,,,,7,0,,,,,,,,3366.6,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,No,No,
08/31/21,Water/Sewer,"LAKE JUNALUSKA ASSEMBLY, INC. (Docket Number W-1274)",Yes,Both water and wastewater customers,816,74,801,45,,,,,,20,0,20,0,,,,,,2401,0,0,0,,,,,,1,0,1,0,,,,,,1,0,1,0,,,,,,454,0,454,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
08/31/21,Water/Sewer,Scientific Water and Sewerage Corporation (Docket Number W-176),Yes,Both water and wastewater customers,1402,5,1526,5,,,,,,561,2,599,2,,,,,,77,2,97,2,,,,,,5,0,5,0,,,,,,5,0,5,0,,,,,,572.82,0,572.82,0,,,,,,65,0,65,0,,,,,,39,0,39,0,,,,,,11,0,11,0,,,,,,4,0,4,0,,,,,,Yes,Yes,Yes,
08/31/21,Natural Gas,"Piedmont Natural Gas Company, Inc. (Docket Number G-9)",Yes,,,,,,,,706170,73948,,,,,,,,98160,4445,,,,,,,,12937380,2169238,,,,,,,,14360,172,,,,,,,,10479,130,,,,,,,,6198714.95,393317.73,,,,,,,,2978,105,,,,,,,,556,49,,,,,,,,107,9,,,,,,,,6753,1064,,Yes,Yes,Yes,
08/31/21,Electric,Western Carolina University (Docket Number E-35),Yes,,,,,,,,3719,199,,,,,,,,103,15,,,,,,,,7900.89,4241.4,,,,,,,,2,8,,,,,,,,2,8,,,,,,,,265.22,1992.07,,,,,,,,13,0,,,,,,,,13,0,,,,,,,,13,0,,,,,,,,0,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"CLARKE UTILITIES, Inc. (Docket Number W-1205)",Yes,Both water and wastewater customers,596,0,313,2,,,,,,10,0,4,0,,,,,,598.74,0,215.98,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,2,0,2,0,,,,,,2,0,2,0,,,,,,2,0,2,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
07/31/21,Water/Sewer,"CLARKE UTILITIES, Inc. (Docket Number W-1205)",Yes,Both water and wastewater customers,596,0,313,2,,,,,,4,0,2,0,,,,,,665.21,0,312.4,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,2,0,2,0,,,,,,2,0,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
06/30/21,Water/Sewer,"CLARKE UTILITIES, Inc. (Docket Number W-1205)",Yes,Both water and wastewater customers,596,0,313,2,,,,,,12,0,4,0,,,,,,865.32,0,254,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"OLD NORTH UTILITY SERVICES, INC. (Docket Number W-1279)",No,Both water and wastewater customers,,,,,3,1,,,,,,,,1,0,,,,,,,,91350,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Natural Gas,"Public Service Company of North Carolina, Inc. (Docket Number G-5)",Yes,,,,,,,,569004,58157,,,,,,,,55565,2616,,,,,,,,6800000,500000,,,,,,,,3288,44,,,,,,,,2688,35,,,,,,,,620000,19000,,,,,,,,0,46,,,,,,,,0,22,,,,,,,,0,9,,,,,,,,0,2,,Yes,Yes,Yes,"Payment arrangements available to include Equal Payment Plan (Budget Bill), short-term and deferred payment plans
Data provided represents 8/01/2021 through 8/31/2021
PSNC stopped all residential disconnections as of February 24, 2021 in response to Commission orders"
08/31/21,Electric,"Duke Energy Progress, LLC (Docket Number E-2)",Yes,,,,,,,,1263644,217033,,,,,,,,174878,11359,,,,,,,,31537253,6918104,,,,,,,,44870,976,,,,,,,,35408,707,,,,,,,,3730224,209190,,,,,,,,8332,416,,,,,,,,6864,382,,,,,,,,6311,285,,,,,,,,1166,74,,Yes,Yes,Yes,"For DEP, the total accounts receivable balance more than 30 days old excludes amounts under long-term payment arrangements. The DEP CIS classifies these amounts as non-arrears, until the monthly installment due month. Amounts excluded from arrears for reporting:
•	July 2021                      $21,779,634
•	August 2021                 $18,515,439
"
08/31/21,Electric,"Duke Energy Carolinas, LLC (Docket Number E-7 )",Yes,,,,,,,,1809280,312363,,,,,,,,486732,45757,,,,,,,,123894378,42731600,,,,,,,,76939,839,,,,,,,,76939,839,,,,,,,,49838584,1933521,,,,,,,,639,311,,,,,,,,417,220,,,,,,,,335,139,,,,,,,,123,11,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"GGCC Utility, Inc. (Docket Number W-755)",Yes,Both water and wastewater customers,269,1,191,1,,,,,,1,0,0,0,,,,,,189.39,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Yes,Yes,
08/31/21,Water/Sewer,Fearrington Utilities (Docket Number W-661),Yes,Wastewater only,,,,,,,1418,2,,,,,,,,17,0,,,,,,,,3535.79,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Natural Gas,Frontier Natural Gas Company (Docket Number G-40),Yes,,,,,,,,2668,2041,,,,,,,,244,44,,,,,,,,20236,56059,,,,,,,,3,2,,,,,,,,0,2,,,,,,,,2078.24,1856.88,,,,,,,,1,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,MOUNTAIN AIR UTILITIES CORPORATION (Docket Number W-1148),Yes,Both water and wastewater customers,437,45,436,22,,,,,,45,31,41,8,,,,,,6547.91,1974.59,6466.25,1558.52,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,Cross-State Development Corporation (Docket Number W-408),Yes,Water only,,,,,,,168,0,,,,,,,,23,0,,,,,,,,2277.21,0,,,,,,,,3,0,,,,,,,,3,0,,,,,,,,908.19,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,3,0,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,Harrco Utility Corporation (Docket Number W-796),Yes,Wastewater only,,,,,,,95,1,,,,,,,,4,0,,,,,,,,222.13,0,,,,,,,,2,0,,,,,,,,2,0,,,,,,,,991.67,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"Carolina Water Service, Inc. of North Carolina (Docket Number W-354)",Yes,Both water and wastewater customers,33821,564,19947,670,,,,,,2705,33,1169,63,,,,,,447748.48,18873,290970.04,39263.34,,,,,,640,2,0,0,,,,,,565,2,0,0,,,,,,255560.8,7126.4,0,0,,,,,,42,0,28,0,,,,,,14,0,9,0,,,,,,6,0,2,0,,,,,,114,0,79,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"JL GOLF MANAGEMENT, LLC (Docket Number W-1296)",No,Both water and wastewater customers,,,,,266,209,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,No,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"Pluris Hampstead, LLC (Docket Number W-1305)",Yes,Wastewater only,,,,,,,779,73,,,,,,,,31,2,,,,,,,,2441.74,4592.45,,,,,,,,4,0,,,,,,,,3,0,,,,,,,,117.22,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"PLURIS, LLC (Docket Number W-1282)",Yes,Wastewater only,,,,,,,5606,179,,,,,,,,196,2,,,,,,,,12735.39,130.64,,,,,,,,26,1,,,,,,,,19,0,,,,,,,,1292.13,56.06,,,,,,,,8,0,,,,,,,,9,0,,,,,,,,6,0,,,,,,,,3,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,"ALBEMARLE PLANTATION UTILITY COMPANY, INC. (Docket Number W-1189)",Yes,Wastewater only,,,,,,,498,9,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"PLURIS WEBB CREEK, LLC (Docket Number W-1314)",Yes,Wastewater only,,,,,,,1420,9,,,,,,,,147,0,,,,,,,,13993.85,0,,,,,,,,18,0,,,,,,,,1,0,,,,,,,,1222.56,0,,,,,,,,8,0,,,,,,,,8,0,,,,,,,,4,0,,,,,,,,10,0,,Yes,Yes,Yes,
08/31/21,Water/Sewer,Sandler Utilities at Mill Run LLC (Docket Number W-1130),Yes,Wastewater only,,,,,,,420,2,,,,,,,,151,1,,,,,,,,44032.55,13449.79,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"KRJ, Inc. (Docket Number W-1075)",Yes,Both water and wastewater customers,601,0,409,0,,,,,,32,0,14,0,,,,,,340,0,231,0,,,,,,1,0,1,0,,,,,,1,0,1,0,,,,,,340,0,340,0,,,,,,4,0,2,0,,,,,,2,0,1,0,,,,,,4,0,2,0,,,,,,0,0,0,0,,,,,,Yes,No,Yes,
08/31/21,Water/Sewer,"OLD NORTH STATE WATER COMPANY, LLC (Docket Number W-1300)",Yes,Both water and wastewater customers,1863,0,4097,21,,,,,,55,0,132,0,,,,,,2589.47,0,5557.01,0,,,,,,10,0,30,0,,,,,,8,0,22,0,,,,,,579.22,0,847.89,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,Corriher Water Service (Docket Number W-233),No,Water only,,,,,,,,,888,,,,,,,,,157,,,,,,,,,5183.61,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Water/Sewer,"TOTAL ENVIRONMENTAL SOLUTIONS, INC. (Docket Number W-1146)",Yes,Both water and wastewater customers,2069,15,0,2,,,,,,176,0,0,0,,,,,,8993,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,2,0,0,0,,,,,,18,9,0,0,,,,,,13,0,,,,,,,,1,2,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
08/31/21,Electric,"Dominion Energy North Carolina; Virginia Electric & Power Co., dba (Docket Number E-22)",Yes,,,,,,,,105946,18211,,,,,,,,18211,1077,,,,,,,,11226011.46,298582.24,,,,,,,,4749,130,,,,,,,,4749,130,,,,,,,,5502165.56,200209.9,,,,,,,,0,29,,,,,,,,0,21,,,,,,,,0,12,,,,,,,,0,10,,Yes,Yes,Yes,
